,sorgu,label,le
0,kredi kartımı kaybettim,kartkayip,1
1,banka kartımı kaybettim,kartkayip,1
2,kredi kartımı bulamıyorum,kartkayip,1
3,kredi kartım çalındı,kartkayip,1
4,kredi kartımın olduğunu bilmiyorum,kartkayip,1
5,kredi kartımın olduğu çüzdan çalındı,kartkayip,1
6,kredi kartım kayboldu,kartkayip,1
7,banka kartım kayboldu,kartkayip,1
8,banka kartımı bulamıyorum,kartkayip,1
9,banka kartım çalındı,kartkayip,1
10,banka kartımın olduğunu bilmiyorum,kartkayip,1
11,banka kartımın olduğu cüzdan çalındı,kartkayip,1
12,banka kartım kayboldu,kartkayip,1
13,kredi kartımı unuttum,kartkayip,1
14,banka kartımı unuttum,kartkayip,1
15,kredi kartımı arıyorum,kartkayip,1
16,banka kartımı arıyorum,kartkayip,1
17,kredi kartımı bulamıyorum,kartkayip,1
18,banka kartımı bulamıyorum,kartkayip,1
19,kredi kartımı kaybetmiş olabilirim,kartkayip,1
20,banka kartımı kaybetmiş olabilirim,kartkayip,1
21,kredi kartım çalınmış olabilir,kartkayip,1
22,banka kartım çalınmış olabilir,kartkayip,1
23,kredi kartımın yerini hatırlamıyorum,kartkayip,1
24,banka kartımın yerini hatırlamıyorum,kartkayip,1
25,kredi kartımın yerini unuttum,kartkayip,1
26,banka kartımın yerini unuttum,kartkayip,1
27,kredi kartımın yerini bulamıyorum,kartkayip,1
28,banka kartımın yerini bulamıyorum,kartkayip,1
29,kredi kartımı çaldırdım,kartkayip,1
30,banka kartımı çaldırdım,kartkayip,1
31,kredi kartımı bulamıyorum yardım eder misiniz ,kartkayip,1
32,banka kartımı bulamıyorum yardım eder misiniz ,kartkayip,1
33,kredi kartımın kaybolduğunu düşünüyorum,kartkayip,1
34,banka kartımın kaybolduğunu düşünüyorum,kartkayip,1
35,kredi kartımı bulmak yapmalıyım ,kartkayip,1
36,banka kartımı bulmak yapmalıyım ,kartkayip,1
37,kredi kartımın kaybolduğunu bildirmeliyim ,kartkayip,1
38,banka kartımın kaybolduğunu bildirmeliyim ,kartkayip,1
39,kredi kartımı çaldırdım yapmalıyım ,kartkayip,1
40,banka kartımı çaldırdım yapmalıyım ,kartkayip,1
41,kredi kartımın çalındığını anlarım ,kartkayip,1
42,banka kartımın çalındığını anlarım ,kartkayip,1
43,kredi kartımın çalındığını rapor ederim ,kartkayip,1
44,banka kartımın çalındığını rapor ederim ,kartkayip,1
45,kredi kartımın kullanıldığını kontrol ederim ,kartkayip,1
46,banka kartımın kullanıldığını kontrol ederim ,kartkayip,1
47,kredi kartımı kaybetmişsem yapmalıyım ,kartkayip,1
48,banka kartımı kaybetmişsem yapmalıyım ,kartkayip,1
49,kredi kartı borcumu ödemek istiyorum,borcodeme,0
50,kart borcumu ödemek istiyorum,borcodeme,0
51,bu ayki kredi kartı ödememi yapmak istiyorum,borcodeme,0
52,kredi kartı borcu ödemek istiyorum,borcodeme,0
53,kredi kartı borcumun asgari tutarını ödemek istiyorum,borcodeme,0
54,kart borcumu ödeyecem,borcodeme,0
55,kredi kartı borcu ödeme,borcodeme,0
56,borç ödeme,borcodeme,0
57,kredi kartı borcumu kapatmak istiyorum,borcodeme,0
58,kart borcumu kapatmak istiyorum,borcodeme,0
59,kredi kartı ödememi gerçekleştirmek istiyorum,borcodeme,0
60,bu ayki borcumu ödeyebilir miyim ,borcodeme,0
61,kredi kartı borç ödeme planımı görmek istiyorum,borcodeme,0
62,kredi kartı borcumu online ödemek istiyorum,borcodeme,0
63,kredi kartı borcumu hemen ödemek istiyorum,borcodeme,0
64,kart borcumun tamamını kapatmak istiyorum,borcodeme,0
65,kredi kartı borcumun detaylarını görmek istiyorum,borcodeme,0
66,borçlarımı düzenli bir şekilde ödemek istiyorum,borcodeme,0
67,kredi kartı borcumu hızlı bir şekilde ödemek istiyorum,borcodeme,0
68,kredi kartı borcumun ödeme tarihini öğrenmek istiyorum,borcodeme,0
69,kart borcumu hemen ödüyorum,borcodeme,0
70,kredi kartı borcumu kapatma seçenekleri neler ,borcodeme,0
71,kart borcumu ödeyebilirim ,borcodeme,0
72,bu ayki kredi kartı borcumu öğrenebilirim ,borcodeme,0
73,kredi kartı borcumu taksitli ödemek istiyorum,borcodeme,0
74,kart borcumu taksitlendirme,borcodeme,0
75,kredi kartı borcumu yarıda bırakmak istiyorum,borcodeme,0
76,kart borcumun minimum tutarını ödemek istiyorum,borcodeme,0
77,kredi kartı borcumu ödeme konusunda yardım istiyorum,borcodeme,0
78,kart borcumu düzenli olarak ödemek istiyorum,borcodeme,0
79,kredi kartı borcumu bir seferde ödemek istiyorum,borcodeme,0
80,kart borcumu zaman ödemeliyim ,borcodeme,0
81,bu ayki kredi kartı ödemesini kaçırmak istemiyorum,borcodeme,0
82,kredi kartı borcumu indirimli ödemek istiyorum,borcodeme,0
83,kart borcumu hemen kapatmak istiyorum,borcodeme,0
84,kredi kartı borcumu ödeyebilmek yapmalıyım ,borcodeme,0
85,kart borcumu ödeme seçenekleri neler ,borcodeme,0
86,kredi kartı borcumu kapatmak uygun bir yol arıyorum,borcodeme,0
